iter	Passed	Remaining
0	145	145475
1	149	74467
2	152	50607
3	154	38579
4	157	31432
5	161	26804
6	163	23208
7	165	20523
8	170	18738
9	172	17048
10	173	15630
11	175	14448
12	177	13478
13	179	12608
14	180	11857
15	182	11224
16	184	10649
17	185	10120
18	186	9647
19	188	9226
20	189	8848
21	191	8497
22	192	8178
23	196	7975
24	198	7745
25	200	7498
26	201	7269
27	203	7048
28	204	6843
29	205	6656
30	207	6486
31	210	6376
32	212	6229
33	214	6089
34	215	5955
35	217	5824
36	219	5701
37	220	5586
38	222	5478
39	224	5387
40	226	5289
41	227	5191
42	229	5098
43	230	5009
44	232	4925
45	233	4850
46	235	4774
47	237	4706
48	239	4642
49	241	4586
50	243	4521
51	244	4456
52	246	4396
53	247	4336
54	249	4278
55	250	4226
56	252	4175
57	254	4137
58	256	4094
59	258	4047
60	260	4004
61	261	3961
62	263	3921
63	265	3885
64	269	3872
65	271	3836
66	272	3799
67	274	3763
68	276	3729
69	278	3695
70	279	3661
71	283	3653
72	286	3633
73	288	3603
74	289	3573
75	291	3544
76	293	3516
77	295	3487
78	298	3481
79	300	3457
80	301	3425
81	303	3400
82	305	3374
83	307	3350
84	308	3320
85	310	3296
86	315	3311
87	317	3294
88	319	3273
89	321	3253
90	323	3233
91	325	3216
92	328	3205
93	330	3184
94	332	3168
95	334	3150
96	336	3132
97	338	3117
98	341	3103
99	343	3092
100	345	3077
101	347	3060
102	349	3046
103	352	3033
104	354	3020
105	357	3012
106	360	3006
107	362	2991
108	364	2979
109	366	2968
110	368	2953
111	370	2939
112	372	2927
113	374	2914
114	376	2901
115	379	2889
116	381	2880
117	384	2876
118	387	2869
119	390	2861
120	392	2850
121	394	2840
122	397	2832
123	399	2824
124	403	2822
125	405	2810
126	407	2799
127	409	2788
128	411	2777
129	413	2766
130	415	2755
131	417	2744
132	419	2734
133	421	2725
134	423	2714
135	425	2704
136	427	2695
137	429	2684
138	432	2678
139	434	2668
140	436	2659
141	438	2649
142	440	2639
143	442	2630
144	444	2619
145	447	2615
146	449	2606
147	451	2600
148	453	2590
149	455	2582
150	457	2572
151	459	2563
152	461	2557
153	464	2550
154	466	2542
155	468	2533
156	470	2525
157	472	2517
158	474	2509
159	478	2510
160	480	2503
161	482	2494
162	484	2487
163	486	2480
164	488	2472
165	492	2474
166	495	2469
167	497	2462
168	499	2455
169	501	2449
170	503	2441
171	505	2434
172	508	2430
173	510	2424
174	512	2416
175	514	2409
176	516	2402
177	518	2395
178	521	2390
179	523	2386
180	526	2380
181	528	2374
182	530	2368
183	532	2361
184	534	2355
185	536	2350
186	539	2343
187	541	2338
188	543	2332
189	545	2326
190	547	2319
191	549	2312
192	551	2307
193	553	2300
194	555	2294
195	557	2287
196	559	2280
197	561	2274
198	563	2269
199	567	2269
200	569	2264
201	571	2258
202	573	2252
203	575	2245
204	577	2240
205	579	2234
206	583	2235
207	585	2231
208	587	2224
209	589	2218
210	591	2211
211	593	2205
212	595	2201
213	598	2197
214	600	2192
215	602	2186
216	604	2181
217	606	2176
218	608	2170
219	610	2164
220	613	2161
221	615	2156
222	617	2151
223	619	2145
224	621	2140
225	623	2133
226	626	2131
227	628	2128
228	630	2124
229	633	2119
230	635	2114
231	637	2109
232	639	2104
233	641	2101
234	644	2097
235	646	2093
236	648	2087
237	650	2082
238	652	2077
239	654	2071
240	656	2067
241	659	2064
242	661	2059
243	663	2054
244	664	2048
245	666	2043
246	668	2039
247	671	2037
248	674	2034
249	676	2030
250	678	2025
251	680	2020
252	682	2015
253	684	2011
254	686	2006
255	689	2003
256	691	1998
257	693	1994
258	695	1989
259	697	1984
260	699	1980
261	702	1978
262	704	1974
263	706	1969
264	708	1964
265	710	1959
266	711	1954
267	713	1949
268	716	1946
269	718	1943
270	720	1938
271	722	1934
272	724	1929
273	726	1924
274	728	1920
275	731	1918
276	734	1916
277	736	1911
278	737	1907
279	739	1902
280	741	1898
281	744	1894
282	746	1891
283	748	1888
284	751	1884
285	753	1880
286	755	1876
287	756	1871
288	761	1872
289	763	1869
290	766	1866
291	767	1862
292	770	1858
293	774	1859
294	776	1856
295	778	1852
296	780	1848
297	782	1843
298	784	1838
299	786	1834
300	788	1830
301	790	1828
302	793	1824
303	795	1820
304	797	1816
305	799	1812
306	801	1808
307	803	1805
308	806	1803
309	808	1800
310	811	1796
311	812	1792
312	815	1790
313	818	1787
314	821	1786
315	823	1782
316	825	1778
317	828	1775
318	830	1772
319	832	1769
320	834	1765
321	836	1762
322	838	1758
323	840	1754
324	843	1751
325	845	1747
326	847	1743
327	849	1741
328	851	1737
329	853	1733
330	855	1729
331	857	1726
332	860	1723
333	862	1719
334	866	1719
335	868	1716
336	870	1712
337	872	1709
338	874	1706
339	876	1702
340	879	1700
341	882	1697
342	884	1694
343	887	1691
344	889	1688
345	891	1684
346	894	1682
347	896	1679
348	898	1676
349	900	1672
350	902	1669
351	904	1665
352	913	1673
353	916	1671
354	918	1668
355	920	1665
356	923	1662
357	926	1660
358	928	1657
359	930	1654
360	933	1651
361	935	1648
362	937	1644
363	940	1643
364	943	1641
365	946	1638
366	948	1636
367	950	1633
368	953	1629
369	956	1628
370	959	1626
371	961	1622
372	963	1619
373	966	1616
374	968	1614
375	972	1614
376	975	1611
377	977	1608
378	979	1604
379	981	1601
380	989	1607
381	991	1604
382	993	1600
383	995	1597
384	1000	1597
385	1004	1597
386	1007	1595
387	1014	1600
388	1019	1601
389	1021	1598
390	1024	1594
391	1026	1591
392	1028	1588
393	1032	1588
394	1035	1585
395	1037	1582
396	1039	1578
397	1041	1574
398	1043	1571
399	1045	1568
400	1048	1565
401	1049	1561
402	1051	1557
403	1053	1554
404	1055	1550
405	1057	1546
406	1059	1543
407	1062	1541
408	1064	1538
409	1066	1535
410	1068	1531
411	1071	1528
412	1073	1525
413	1079	1527
414	1082	1526
415	1085	1523
416	1087	1520
417	1095	1525
418	1098	1522
419	1100	1520
420	1103	1517
421	1106	1515
422	1109	1513
423	1111	1510
424	1114	1507
425	1116	1504
426	1118	1500
427	1121	1498
428	1124	1496
429	1126	1493
430	1128	1489
431	1130	1486
432	1132	1483
433	1135	1480
434	1137	1477
435	1140	1475
436	1142	1472
437	1145	1469
438	1147	1466
439	1149	1462
440	1152	1461
441	1155	1458
442	1157	1455
443	1160	1452
444	1166	1455
445	1168	1452
446	1170	1448
447	1173	1445
448	1175	1442
449	1177	1439
450	1179	1436
451	1182	1433
452	1185	1430
453	1187	1427
454	1189	1424
455	1191	1421
456	1193	1418
457	1196	1415
458	1198	1413
459	1201	1409
460	1203	1406
461	1205	1403
462	1207	1400
463	1210	1397
464	1213	1395
465	1215	1392
466	1217	1389
467	1220	1387
468	1222	1384
469	1224	1381
470	1227	1378
471	1229	1375
472	1232	1372
473	1234	1369
474	1236	1366
475	1238	1363
476	1241	1361
477	1244	1359
478	1247	1356
479	1249	1353
480	1251	1350
481	1253	1347
482	1256	1344
483	1258	1341
484	1261	1339
485	1263	1336
486	1265	1333
487	1267	1330
488	1270	1327
489	1272	1324
490	1274	1320
491	1276	1317
492	1277	1314
493	1280	1311
494	1282	1308
495	1284	1305
496	1286	1302
497	1288	1299
498	1290	1296
499	1293	1293
500	1295	1289
501	1297	1286
502	1299	1283
503	1302	1281
504	1304	1278
505	1306	1275
506	1308	1272
507	1310	1269
508	1312	1266
509	1314	1263
510	1317	1260
511	1319	1258
512	1322	1255
513	1324	1252
514	1326	1249
515	1328	1246
516	1331	1243
517	1334	1241
518	1336	1238
519	1338	1235
520	1340	1232
521	1342	1229
522	1344	1226
523	1347	1224
524	1349	1221
525	1351	1217
526	1353	1214
527	1355	1211
528	1357	1208
529	1359	1205
530	1363	1204
531	1367	1202
532	1369	1199
533	1371	1196
534	1373	1193
535	1376	1191
536	1379	1189
537	1381	1186
538	1383	1183
539	1386	1180
540	1388	1177
541	1390	1174
542	1393	1172
543	1395	1170
544	1397	1167
545	1400	1164
546	1402	1161
547	1404	1158
548	1407	1155
549	1409	1152
550	1410	1149
551	1412	1146
552	1414	1143
553	1416	1140
554	1418	1137
555	1420	1134
556	1423	1131
557	1425	1128
558	1427	1125
559	1429	1122
560	1431	1119
561	1432	1116
562	1435	1113
563	1437	1111
564	1439	1108
565	1441	1105
566	1443	1102
567	1445	1099
568	1447	1096
569	1449	1093
570	1451	1090
571	1453	1087
572	1456	1085
573	1458	1082
574	1460	1079
575	1462	1076
576	1464	1073
577	1467	1071
578	1469	1068
579	1471	1065
580	1473	1062
581	1475	1059
582	1477	1056
583	1479	1054
584	1482	1051
585	1484	1048
586	1486	1045
587	1488	1042
588	1490	1040
589	1493	1037
590	1495	1034
591	1497	1032
592	1499	1029
593	1502	1026
594	1504	1023
595	1505	1020
596	1507	1017
597	1510	1015
598	1512	1012
599	1514	1009
600	1516	1006
601	1518	1004
602	1521	1001
603	1523	998
604	1525	996
605	1528	993
606	1530	990
607	1532	988
608	1534	985
609	1536	982
610	1538	979
611	1540	976
612	1542	974
613	1545	971
614	1547	968
615	1549	965
616	1551	962
617	1553	960
618	1555	957
619	1557	954
620	1559	951
621	1561	948
622	1563	946
623	1565	943
624	1567	940
625	1571	938
626	1573	936
627	1575	933
628	1577	930
629	1579	927
630	1582	925
631	1583	922
632	1586	919
633	1589	917
634	1591	914
635	1593	911
636	1594	908
637	1596	906
638	1599	903
639	1602	901
640	1605	898
641	1607	896
642	1609	893
643	1611	890
644	1613	887
645	1615	885
646	1618	882
647	1620	880
648	1622	877
649	1624	874
650	1625	871
651	1627	868
652	1631	866
653	1633	864
654	1635	861
655	1637	858
656	1639	856
657	1641	853
658	1644	850
659	1646	848
660	1648	845
661	1650	842
662	1652	840
663	1654	837
664	1656	834
665	1658	831
666	1661	829
667	1663	826
668	1665	823
669	1666	821
670	1669	818
671	1671	815
672	1673	813
673	1676	810
674	1678	808
675	1680	805
676	1682	802
677	1684	799
678	1686	797
679	1688	794
680	1691	792
681	1693	789
682	1695	786
683	1697	784
684	1699	781
685	1701	778
686	1703	776
687	1706	773
688	1708	771
689	1710	768
690	1711	765
691	1714	763
692	1716	760
693	1719	758
694	1721	755
695	1724	753
696	1726	750
697	1727	747
698	1729	744
699	1732	742
700	1734	739
701	1737	737
702	1739	734
703	1740	731
704	1743	729
705	1745	726
706	1747	724
707	1750	721
708	1753	719
709	1755	716
710	1757	714
711	1759	711
712	1761	708
713	1763	706
714	1765	703
715	1768	701
716	1770	698
717	1772	696
718	1774	693
719	1776	690
720	1778	688
721	1781	685
722	1783	683
723	1785	680
724	1787	678
725	1789	675
726	1791	672
727	1793	670
728	1796	667
729	1798	665
730	1800	662
731	1802	659
732	1804	657
733	1805	654
734	1807	651
735	1810	649
736	1812	646
737	1814	644
738	1817	641
739	1819	639
740	1821	636
741	1823	634
742	1826	631
743	1828	629
744	1831	626
745	1833	624
746	1835	621
747	1837	619
748	1840	616
749	1842	614
750	1844	611
751	1846	609
752	1849	606
753	1851	603
754	1852	601
755	1855	598
756	1857	596
757	1859	593
758	1861	591
759	1863	588
760	1865	585
761	1867	583
762	1870	581
763	1873	578
764	1875	576
765	1877	573
766	1879	571
767	1881	568
768	1884	566
769	1886	563
770	1888	560
771	1890	558
772	1892	555
773	1894	553
774	1896	550
775	1898	548
776	1900	545
777	1903	543
778	1905	540
779	1907	538
780	1910	535
781	1913	533
782	1916	531
783	1918	528
784	1920	525
785	1922	523
786	1924	520
787	1926	518
788	1929	515
789	1931	513
790	1933	510
791	1935	508
792	1937	505
793	1939	503
794	1941	500
795	1943	498
796	1945	495
797	1947	493
798	1949	490
799	1952	488
800	1954	485
801	1955	482
802	1959	480
803	1962	478
804	1964	475
